ticker,company_name,industry,fiscal_year,fiscal_quarter,form_type,filing_date,period_end_date,revenue_millions,cost_of_revenue_millions,gross_profit_millions,operating_income_millions,net_income_millions,eps_basic,eps_diluted,total_assets_millions,current_assets_millions,total_liabilities_millions,current_liabilities_millions,stockholders_equity_millions,operating_cash_flow_millions,investing_cash_flow_millions,financing_cash_flow_millions,net_margin_percent,operating_margin_percent,current_ratio,debt_to_assets_percent
AAPL,Apple Inc.,,2021,,10-Q,2021-07-28,2020-06-27,209817.0,,,51513.0,44738.0,2.56,2.54,,,,,72282.0,60098.0,,,21.32,24.55,,
AAPL,Apple Inc.,,2021,,10-Q,2021-04-29,2021-03-27,201023.0,,,61037.0,52385.0,3.11,3.08,337158.0,121465.0,267980.0,106385.0,69178.0,62744.0,,,26.06,30.36,1.14,79.48
AAPL,Apple Inc.,,2020,,10-K,2020-10-30,2019-12-28,91819.0,,,,22236.0,1.26,1.25,,,,,,,,,24.22,,,
AAPL,Apple Inc.,,2020,,10-K,2020-10-30,2020-03-28,58313.0,,,,11249.0,0.64,0.64,,,,,,,,,19.29,,,
AAPL,Apple Inc.,,2020,,10-K,2020-10-30,2020-06-27,59685.0,,,,11253.0,0.65,0.65,,,,,,,,,18.85,,,
AAPL,Apple Inc.,,2020,,10-K,2020-10-30,2019-06-29,53809.0,,,,10044.0,0.55,0.55,,,,,,,,,18.67,,,
AAPL,Apple Inc.,,2020,,10-Q,2020-01-29,2019-12-28,91819.0,,,25569.0,22236.0,5.04,4.99,340618.0,163231.0,251087.0,102161.0,89531.0,30516.0,,,24.22,27.85,1.6,73.72
AAPL,Apple Inc.,,2020,,10-Q,2020-07-31,2019-06-29,196134.0,,,48305.0,41570.0,8.92,8.86,,,,,96456.0,49481.0,,,21.19,24.63,,
AAPL,Apple Inc.,,2020,,10-Q,2020-05-01,2019-03-30,142325.0,,,36761.0,31526.0,6.7,6.66,,,,,105860.0,37845.0,,,22.15,25.83,,
AAPL,Apple Inc.,,2019,,10-K,2019-10-31,2017-09-30,229234.0,,,61344.0,48351.0,9.27,9.21,,,,,134047.0,64225.0,,,21.09,26.76,,
AAPL,Apple Inc.,,2019,,10-K,2019-10-31,2018-06-30,53265.0,,,,11519.0,2.36,2.34,,,,,,,,,21.63,,,
AAPL,Apple Inc.,,2019,,10-K,2019-10-31,2017-12-30,88293.0,,,,20065.0,3.92,3.89,,,,,,,,,22.73,,,
AAPL,Apple Inc.,,2019,,10-K,2019-10-31,2018-03-31,61137.0,,,,13822.0,2.75,2.73,,,,,,,,,22.61,,,
AAPL,Apple Inc.,,2019,,10-K,2019-10-31,2019-03-30,58015.0,,,,11561.0,2.47,2.46,,,,,,,,,19.93,,,
AAPL,Apple Inc.,,2019,,10-K,2019-10-31,2019-09-28,260174.0,,,63930.0,55256.0,11.97,11.89,338516.0,162819.0,248028.0,105718.0,90488.0,69391.0,,,21.24,24.57,1.54,73.27
AAPL,Apple Inc.,,2019,,10-K,2019-10-31,2018-09-29,265595.0,,,70898.0,59531.0,12.01,11.91,365725.0,131339.0,258578.0,115929.0,107147.0,77434.0,,,22.41,26.69,1.13,70.7
AAPL,Apple Inc.,,2019,,10-K,2019-10-31,2018-12-29,84310.0,,,,19965.0,4.22,4.18,,,,,,,,,23.68,,,
AAPL,Apple Inc.,,2019,,10-Q,2019-01-30,2018-12-29,84310.0,,,23346.0,19965.0,4.22,4.18,373719.0,140828.0,255827.0,108283.0,117892.0,26690.0,,,23.68,27.69,1.3,68.45
AAPL,Apple Inc.,,2019,,10-Q,2019-05-01,2018-03-31,149430.0,,,42168.0,33887.0,6.69,6.63,,,,,126878.0,43423.0,,,22.68,28.22,,
AAPL,Apple Inc.,,2018,,10-K,2018-11-05,2017-04-01,52896.0,,,,11029.0,2.11,2.1,,,,,,,,,20.85,,,
AAPL,Apple Inc.,,2018,,10-Q,2018-02-02,2016-12-31,78351.0,,,23359.0,17891.0,3.38,3.36,,,,,,27234.0,,,22.83,29.81,,
AAPL,Apple Inc.,,2018,,10-Q,2018-02-02,2017-12-30,88293.0,,,26274.0,20065.0,3.92,3.89,406794.0,143810.0,266595.0,115788.0,140199.0,28293.0,,,22.73,29.76,1.24,65.54
AAPL,Apple Inc.,,2018,,10-Q,2018-08-01,2018-06-30,202695.0,,,54780.0,45406.0,9.07,8.99,349197.0,115761.0,234248.0,88548.0,114949.0,57911.0,,,22.4,27.03,1.31,67.08
AAPL,Apple Inc.,,2018,,10-Q,2018-08-01,2017-07-01,176655.0,,,48224.0,37637.0,7.18,7.14,,,,,,48476.0,,,21.31,27.3,,
AAPL,Apple Inc.,,2017,,10-K,2017-11-03,2016-12-31,78351.0,,,,17891.0,3.38,3.36,,,,,,,,,22.83,,,
AAPL,Apple Inc.,,2017,,10-K,2017-11-03,2016-03-26,50557.0,,,,10516.0,1.91,1.9,,,,,,,,,20.8,,,
AAPL,Apple Inc.,,2017,,10-K,2017-11-03,2017-07-01,45408.0,,,,8717.0,1.68,1.67,,,,,,,,,19.2,,,
AAPL,Apple Inc.,,2017,,10-Q,2017-08-02,2016-06-25,168787.0,,,48263.0,36673.0,6.66,6.62,,,,,,49698.0,,,21.73,28.59,,
AAPL,Apple Inc.,,2017,,10-Q,2017-05-03,2017-04-01,131247.0,,,37456.0,28920.0,5.5,5.46,334532.0,101990.0,200450.0,73342.0,134082.0,39579.0,,,22.03,28.54,1.39,59.92
AAPL,Apple Inc.,,2017,,10-Q,2017-05-03,2016-03-26,126429.0,,,38158.0,28877.0,5.22,5.19,,,,,,39064.0,,,22.84,30.18,,
